0,1,2,3,4,5
622,956 sq.ft,2,43.31306301440419,Semifurnished,"14,500"
623,2600 sq.ft,3,12.19912204679815,Semifurnished,"60,000"
624,1729 sq.ft,3,20.20928324419548,Semifurnished,"26,000"
626,700 sq.ft,1,7.687123215287745,Semifurnished,"16,500"
627,1260 sq.ft,2,14.988744950057061,Semifurnished,"25,000"
629,1450 sq.ft,3,51.37241805205223,Semifurnished,"23,000"
630,2000 sq.ft,3,15.65448236698326,Semifurnished,"55,000"
632,352 sq.ft,0,7.108082674052107,Furnished,"13,500"
633,1535 sq.ft,3,10.101313475375827,Furnished,"36,000"
634,1200 sq.ft,1,9.176961100944519,Semifurnished,"18,000"
635,1790 sq.ft,3,10.67560305404598,Semifurnished,"30,000"
636,1125 sq.ft,2,14.557471278724925,Semifurnished,"22,000"
637,1350 sq.ft,3,69.95896261636227,Semifurnished,"31,000"
638,1700 sq.ft,3,9.860482829899476,Furnished,"35,000"
639,565 sq.ft,1,14.557471278724925,Semifurnished,"17,000"
642,1680 sq.ft,3,126.97042657823627,Semifurnished,"28,000"
644,1730 sq.ft,3,19.09064471626785,Semifurnished,"30,000"
646,400 sq.ft,1,6.210059884710983,Furnished,"21,000"
647,1200 sq.ft,1,19.74412779272425,Semifurnished,"13,500"
648,225 sq.ft,0,10.422352532589588,Semifurnished,8000
649,684 sq.ft,1,19.09064471626785,Semifurnished,"11,000"
650,541 sq.ft,1,19.09064471626785,Semifurnished,"11,000"
654,700 sq.ft,1,9.15394549513154,Semifurnished,"18,000"
655,1422 sq.ft,2,3.537892950629266,Semifurnished,"40,500"
656,1350 sq.ft,1,6.984672878827152,Semifurnished,"12,500"
658,1350 sq.ft,3,10.707302136512485,Semifurnished,"14,000"
659,1400 sq.ft,2,6.989217545962092,Semifurnished,"25,000"
663,15053.76 sq.ft,3,16.39465523728644,Semifurnished,"25,000"
664,1300 sq.ft,3,39.1288803896841,Semifurnished,"40,000"
665,1434 sq.ft,3,11.886683845532827,Semifurnished,"22,000"
666,450 sq.ft,0,6.732889599818437,Semifurnished,6500
668,1798 sq.ft,3,10.101313475375827,Semifurnished,"38,000"
670,791 sq.ft,2,19.09064471626785,Semifurnished,"18,500"
671,2700 sq.ft,3,9.860482829899476,Semifurnished,"35,000"
672,1200 sq.ft,2,10.422352532589588,Furnished,"24,000"
673,6000 sq.ft,3,2.6467043748092784,Semifurnished,3 Lac
674,1524 sq.ft,3,10.101313475375827,Semifurnished,"30,000"
676,800 sq.ft,1,39.1288803896841,Semifurnished,"18,000"
677,1200 sq.ft,1,9.15394549513154,Semifurnished,"19,500"
679,1917 sq.ft,3,10.67560305404598,Semifurnished,"30,000"
680,1100 sq.ft,3,2.379314643159816,Semifurnished,"50,000"
681,1801 sq.ft,3,10.67560305404598,Semifurnished,"30,000"
