"897 sq.ft","2","Kodihalli","Semifurnished","25,000"
"750 sq.ft","1","Manjunatha Layout","Semifurnished","15,000"
"1820 sq.ft","3","Akshaya Nagar","Semifurnished","29,000"
"3000 sq.ft","3","Divyasree 77 Deg East","Furnished","80,000"
"1603 sq.ft","3","Konanakunte","Semifurnished","42,000"
"1445 sq.ft","3","Kalena Agrahara","Semifurnished","27,000"
"1200 sq.ft","2","Kallumantapa","Semifurnished","20,000"
"3660 sq.ft","4","Whitefield","Semifurnished","45,000"
"475 sq.ft","1","Kaggadasapura","Semifurnished","13,000"
"1400 sq.ft","2","Marathahalli","Furnished","40,000"
"2000 sq.ft","3","Byadarahalli","Semifurnished","45,000"
"1500 sq.ft","2","Sector 2 HSR Layout","Semifurnished","29,500"
"6000 sq.ft","5","Thanisandra","Furnished","2.5 Lac"
"1200 sq.ft","2","Kundalahalli","Semifurnished","22,000"
"1480 sq.ft","2","Gubbalala","Furnished","27,500"
"721 sq.ft","1","New Thippasandra","Semifurnished","20,000"
"1600 sq.ft","3","Marathahalli","Semifurnished","43,000"
"3000 sq.ft","1","BTM 2nd Stage","Semifurnished","12,500"
"1174 sq.ft","2","Kalena Agrahara","Furnished","25,000"
"1950.2 sq.ft","3","Gopalapura","Semifurnished","72,000"
"700 sq.ft","1","AECS Layout","Semifurnished","20,000"
"450 sq.ft","1","Kaggadasapura","Semifurnished","15,700"
"8000 sq.ft","4","Old Airport Road","Furnished","4.02 Lac"
"3500 sq.ft","3","Benson Town","Furnished","75,000"
"792 sq.ft","2","Kadugodi","Semifurnished","18,000"
"1499 sq.ft","3","Electronic City Phase II","Semifurnished","22,000"
"1180 sq.ft","3","Electronics City Phase 1","Semifurnished","18,000"
"620 sq.ft","1","New Thippasandra","Semifurnished","18,000"
"1470 sq.ft","3","Gubbalala","Furnished","25,500"
"3469 sq.ft","4","Rajaji Nagar","Semifurnished","2.1 Lac"
"1100 sq.ft","2","Kaggadasapura","Semifurnished","25,000"
"1700 sq.ft","2","Btm Layout 1st","Semifurnished","25,000"
"350 sq.ft","0","Sanjay nagar","Semifurnished","7000"
"250 sq.ft","0","Sanjay nagar","Semifurnished","6000"
"1100 sq.ft","2","OMBR Layout","Semifurnished","18,000"
"691 sq.ft","1","AECS Layout","Semifurnished","19,000"
"500 sq.ft","1","AECS Layout","Semifurnished","12,000"
"700 sq.ft","1","Whitefield","Semifurnished","10,000"
"6000 sq.ft","4","Whitefield","Semifurnished","1 Lac"
"705 sq.ft","1","Marathahalli","Semifurnished","16,999"
"950 sq.ft","1","6th block Koramangala","Semifurnished","20,000"
"2400 sq.ft","1","Koramangala","Semifurnished","19,000"
"2100 sq.ft","1","Murugeshpalya","Semifurnished","14,900"
"350 sq.ft","0","Puttanahalli","Semifurnished","7000"
"1400 sq.ft","2","Electronics City Phase 1","Furnished","35,000"
"1740 sq.ft","3","Whitefield","Semifurnished","45,000"
"2000 sq.ft","3","New Thippasandra","Semifurnished","45,000"
"1210 sq.ft","2","Kattanallur","Semifurnished","23,000"
